# Distance Time Time_err_low Time_err_high Temperature Temperature_err_low Temperature_err_high J J_err_low J_err_high
1.1000e-02 1.0612e-03 2.0339e-04 2.3401e-04 2.4608e+02 nan nan -0.0000e+00 0.0000e+00 0.0000e+00
1.6000e-02 1.5436e-03 2.9584e-04 3.4038e-04 2.4149e+02 nan nan -0.0000e+00 0.0000e+00 0.0000e+00
2.0000e-02 1.9294e-03 3.6980e-04 4.2547e-04 2.3895e+02 nan nan -0.0000e+00 0.0000e+00 0.0000e+00
2.5000e-02 2.4118e-03 4.6225e-04 5.3184e-04 2.3654e+02 nan nan 3.5838e+15 2.5566e+15 3.2500e+15
3.0000e-02 2.8942e-03 5.5470e-04 6.3821e-04 2.3468e+02 nan nan 1.1847e+16 4.2383e+15 6.2682e+15
3.5000e-02 3.3765e-03 6.4715e-04 7.4458e-04 2.3317e+02 nan nan 2.6772e+16 1.3127e+16 1.8256e+16
3.7500e-02 3.6177e-03 6.9338e-04 7.9776e-04 2.3252e+02 nan nan 4.9873e+15 7.0337e+15 7.9428e+15
4.0000e-02 3.8589e-03 7.3960e-04 8.5094e-04 2.3192e+02 nan nan -9.0459e+15 1.1065e+16 9.5248e+15
4.2500e-02 4.1001e-03 7.8583e-04 9.0413e-04 2.3136e+02 nan nan 4.5915e+16 1.6992e+16 2.5418e+16
4.5000e-02 4.3413e-03 8.3205e-04 9.5731e-04 2.3085e+02 nan nan 3.5921e+17 1.1761e+17 1.8828e+17
4.7500e-02 4.5824e-03 8.7828e-04 1.0105e-03 2.3037e+02 nan nan 9.3016e+17 2.9802e+17 4.9716e+17
5.0000e-02 4.8236e-03 9.2451e-04 1.0637e-03 2.2992e+02 nan nan 1.2299e+18 4.1075e+17 6.8705e+17
