# Distance Time Time_err_low Time_err_high Temperature Temperature_err_low Temperature_err_high J J_err_low J_err_high
1.3500e-02 1.3024e-03 2.5386e-04 2.8271e-04 2.4353e+02 1.5928e+00 1.7742e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.8000e-02 1.7365e-03 3.3847e-04 3.7695e-04 2.4013e+02 1.4962e+00 1.6769e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.2500e-02 2.1706e-03 4.2309e-04 4.7119e-04 2.3766e+02 1.4209e+00 1.5954e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.7500e-02 2.6530e-03 5.1711e-04 5.7590e-04 2.3555e+02 1.3531e+00 1.5211e+00 7.1677e+15 4.9573e+15 6.6280e+15
3.2500e-02 3.1354e-03 6.1113e-04 6.8061e-04 2.3389e+02 1.2983e+00 1.4603e+00 1.6527e+16 8.2650e+15 1.1583e+16
3.6250e-02 3.4971e-03 6.8165e-04 7.5914e-04 2.3284e+02 1.2611e+00 1.4204e+00 3.1894e+16 1.8589e+16 2.5904e+16
3.8750e-02 3.7383e-03 7.2866e-04 8.1149e-04 2.3221e+02 1.2393e+00 1.3971e+00 -2.1920e+16 2.3816e+16 1.8353e+16
4.1250e-02 3.9795e-03 7.7567e-04 8.6385e-04 2.3163e+02 1.2197e+00 1.3745e+00 3.8279e+15 1.6633e+16 1.7548e+16
4.3750e-02 4.2207e-03 8.2268e-04 9.1620e-04 2.3110e+02 1.2024e+00 1.3536e+00 8.8002e+16 3.3470e+16 5.1875e+16
4.6250e-02 4.4619e-03 8.6969e-04 9.6856e-04 2.3060e+02 1.1860e+00 1.3345e+00 6.3042e+17 2.0689e+17 3.4175e+17
4.8750e-02 4.7030e-03 9.1670e-04 1.0209e-03 2.3014e+02 1.1705e+00 1.3173e+00 1.2299e+18 4.0791e+17 7.0888e+17
