# Distance Time Time_err_low Time_err_high Temperature Temperature_err_low Temperature_err_high
1.1000e-02 1.0612e-03 2.0861e-04 2.3310e-04 2.4608e+02 1.6617e+00 1.8452e+00
1.6000e-02 1.5436e-03 3.0344e-04 3.3906e-04 2.4149e+02 1.5452e+00 1.7313e+00
2.0000e-02 1.9294e-03 3.7930e-04 4.2382e-04 2.3895e+02 1.4665e+00 1.6520e+00
2.5000e-02 2.4118e-03 4.7412e-04 5.2978e-04 2.3654e+02 1.3893e+00 1.5688e+00
3.0000e-02 2.8942e-03 5.6894e-04 6.3573e-04 2.3468e+02 1.3268e+00 1.5007e+00
3.5000e-02 3.3765e-03 6.6377e-04 7.4169e-04 2.3317e+02 1.2750e+00 1.4447e+00
3.7500e-02 3.6177e-03 7.1118e-04 7.9466e-04 2.3252e+02 1.2536e+00 1.4198e+00
4.0000e-02 3.8589e-03 7.5859e-04 8.4764e-04 2.3192e+02 1.2327e+00 1.3968e+00
4.2500e-02 4.1001e-03 8.0600e-04 9.0062e-04 2.3136e+02 1.2132e+00 1.3759e+00
4.5000e-02 4.3413e-03 8.5342e-04 9.5360e-04 2.3085e+02 1.1957e+00 1.3565e+00
4.7500e-02 4.5824e-03 9.0083e-04 1.0066e-03 2.3037e+02 1.1795e+00 1.3382e+00
5.0000e-02 4.8236e-03 9.4824e-04 1.0596e-03 2.2992e+02 nan nan
