"Figure 2b. The volume nucleation rate coefficient, Jv(T), and overall fit of the data.",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Run 1,,,,,,Run 2,,,,,,Run 3,,,,,,LOC-NIPI fit,,,,
Temperature (°C),± Temperature error (°C),Jv(T) (cm-3 s-1),Upper Jv(T) error (cm-3 s-1),Lower Jv(T) error (cm-3 s-1),,Temperature (°C),± Temperature error (°C),Jv(T) (cm-3 s-1),Upper Jv(T) error (cm-3 s-1),Lower Jv(T) error (cm-3 s-1),,Temperature (°C),± Temperature error (°C),Jv(T) (cm-3 s-1),Upper Jv(T) error (cm-3 s-1),Lower Jv(T) error (cm-3 s-1),,Temperature (°C),± Temperature error (°C),Jv(T) (cm-3 s-1),Upper Jv(T) error (cm-3 s-1),Lower Jv(T) error (cm-3 s-1)
-35.09,0.7,113191.2953,97763.04879,48881.52439,,-35.17,0.7,183059.0199,158107.6341,79053.81703,,-35.45,0.7,314563.1986,277306.9643,138653.4822,,-35.1,0.7,63577.18763,55312.15324,27338.19068
-35.37,0.7,81935.17791,70085.72578,35042.86289,,-35.37,0.7,104435.8898,89332.38833,44666.19417,,-35.58,0.7,412562.7735,356329.4728,178164.7364,,-36.9,0.7,1.26E+08,1.10E+08,5.41E+07
-35.47,0.7,366310.8976,301198.3893,150599.1946,,-35.53,0.7,545475.8669,448516.4203,224258.2102,,-35.63,0.7,241004.9373,208155.3832,104077.6916,,,,,,
-35.59,0.7,564328.9205,482715.7636,241357.8818,,-35.71,0.7,487549.2731,421095.1317,210547.5658,,-35.76,0.7,594821.6524,476253.6255,238126.8127,,,,,,
-35.67,0.7,549881.6062,474931.4174,237465.7087,,-35.89,0.7,1837904.682,1620226.938,810113.469,,-35.86,0.7,2359780.582,2038136.799,1019068.399,,,,,,
-35.68,0.7,1813303.088,1598539.107,799269.5536,,-35.96,0.7,6951380.495,5715758.45,2857879.225,,-35.95,0.7,1778305.395,1535918.082,767959.0409,,,,,,
-35.81,0.7,2331450.932,1917030.779,958515.3896,,-36.23,0.7,9008576.28,7407283.493,3703641.747,,-36.07,0.7,4005483.561,3197751.015,1598875.508,,,,,,
-35.64,0.7,699936.7874,575521.5975,287760.7987,,-36.47,0.7,2.74E+07,2.42E+07,1.21E+07,,-36.25,0.7,5803425.157,4936654.443,2468327.222,,,,,,
-35.84,0.7,1799301.091,1586195.479,793097.7397,,-36.54,0.7,5.17E+07,4.25E+07,2.13E+07,,-36.32,0.7,9234268.888,7855084.421,3927542.211,,,,,,
-35.78,0.7,974418.2291,932405.7999,466202.9,,-36.87,0.7,1.01E+08,8.29E+07,4.14E+07,,-36.29,0.7,1.17E+07,9343225.423,4671612.712,,,,,,
-35.92,0.7,1298391.82,1110618.606,555309.3029,,,,,,,,-36.4,0.7,1.71E+07,1.45E+07,7272394.36,,,,,,
-36.05,0.7,2571356.366,2114292.533,1057146.267,,,,,,,,-36.5,0.7,2.39E+07,2.30E+07,1.15E+07,,,,,,
-36.11,0.7,4834592.212,4308449.986,2154224.993,,,,,,,,-36.65,0.7,4.51E+07,3.60E+07,1.80E+07,,,,,,
-36.16,0.7,5547059.251,4790981.7,2395490.85,,,,,,,,-36.68,0.7,6.60E+07,5.81E+07,2.90E+07,,,,,,
-36.25,0.7,1.08E+07,9187667.831,4593833.915,,,,,,,,-36.74,0.7,7.90E+07,6.31E+07,3.15E+07,,,,,,
-36.45,0.7,1.50E+07,1.32E+07,6618287.005,,,,,,,,,,,,,,,,,,
-36.52,0.7,1.83E+07,1.61E+07,8044798.514,,,,,,,,,,,,,,,,,,
-36.56,0.7,2.44E+07,2.15E+07,1.08E+07,,,,,,,,,,,,,,,,,,
-36.45,0.7,3.65E+07,3.22E+07,1.61E+07,,,,,,,,,,,,,,,,,,
-36.6,0.7,2.81E+07,2.69E+07,1.34E+07,,,,,,,,,,,,,,,,,,
-36.63,0.7,3.70E+07,3.43E+07,1.71E+07,,,,,,,,,,,,,,,,,,
-36.67,0.7,4.13E+07,3.40E+07,1.70E+07,,,,,,,,,,,,,,,,,,
-36.74,0.7,5.65E+07,4.65E+07,2.32E+07,,,,,,,,,,,,,,,,,,
-36.84,0.7,8.18E+07,6.73E+07,3.36E+07,,,,,,,,,,,,,,,,,,
-36.89,0.7,1.37E+08,1.16E+08,5.80E+07,,,,,,,,,,,,,,,,,,
