T,J,lnJ
234.05,1.42807165772885E17,
234.1,1.20088107301466E17,
234.15,1.00983402598882E17,
234.2,8.49180475036373E16,
234.25,7.14085147286266E16,
234.3,6.00482008907558E16,
234.35,5.04951887589261E16,
234.4,4.24619563946299E16,
234.45,3.57067234557266E16,
234.5,3.00261742086141E16,
234.55,2.52493382296418E16,
234.6,2.12324446200021E16,
234.65,1.78545948587363E16,
234.7,1.50141240575425E16,
234.75,1.26255411001357E16,
234.8,1.06169555719875E16,
234.85,8.92791403739081E15,
234.9,7.50758054119917E15,
234.95,6.31320657283928E15,
235,5.30884444231016E15,
235.05,4.46426534400069E15,
235.1,3.75404954472084E15,
235.15,3.15682131286338E15,
235.2,2.65460556197575E15,
235.25,2.23228684530129E15,
235.3,1.87715441837508E15,
235.35,1.5785196771831E15,
235.4,1.32739445772971E15,
235.45,1.11622051462549E15,
235.5,938642036672189,
235.55,789314352732181,
235.6,663743070401913,
235.65,558148805962536,
235.7,469353434317235,
235.75,394684435319102,
235.8,331894457552578,
235.85,279093678637440,
235.9,234692926268643,
235.95,197355848077444,
236,165958690743767,
236.05,139556477812472,
236.1,117354568249130,
236.15,98684739718394.8,
236.2,82985076751449.8,
236.25,69783058485986.6,
236.3,58681336961871.9,
236.35,49345777934413.1,
236.4,41495404263435.8,
236.45,34893939199312.6,
236.5,29342695039561.7,
236.55,24674593122509,
236.6,20749135174549.4,
236.65,17448174661041.4,
236.7,14672360869078.9,
236.75,12338148697760.3,
236.8,10375284158179.2,
236.85,8724689902832.35,
236.9,7336687144183.55,
236.95,6169500446561.55,
237,5188000389289.31,
237.05,4362646258380.67,
237.1,3668596944413.5,
237.15,3084963286836.35,
237.2,2594179362119.08,
237.25,2181473793078.49,
237.3,1834425167117.58,
237.35,1542588182554.51,
237.4,1297179270983.95,
237.45,1090812233686.5,
237.5,917275935389.732,
237.55,771347364524.548,
237.6,648634433548.256,
237.65,545443788018.573,
237.7,458669645798.25,
237.75,385700320725.761,
237.8,324339617349.325,
237.85,272740730897.956,
237.9,229350663044.76,
237.95,192863480514.583,
238,162181009735.885,
238.05,136379784543.845,
238.1,114683252142.252,
238.15,96438400793.1411,
238.2,81096105785.3826,
238.25,68194602144.6438,
238.3,57345586654.5924,
238.35,48222530894.5231,
238.4,40550853544.8388,
238.45,34099656171.338,
238.5,28674773755.812,
238.55,24112930811.2565,
238.6,20276827195.2136,
238.65,17051005716.5081,
238.7,14338377160.5579,
238.75,12057298145.1391,
238.8,10139113857.3661,
238.85,8526091714.34417,
238.9,7169683755.8043,
238.95,6029065471.08356,
239,5069907082.74686,
239.05,4263340305.55328,
239.1,3585089482.7657,
239.15,3014740949.17872,
239.2,2535128630.49789,
239.25,2131817387.136,
239.3,1792668552.36542,
239.35,1507474588.59868,
239.4,1267651865.85787,
239.45,1065982315.83242,
239.5,896396185.949922,
239.55,753789354.899573,
239.6,633869711.256958,
239.65,533027971.590891,
239.7,448229049.996619,
239.75,376920709.547815,
239.8,316956746.304332,
239.85,266532393.904181,
239.9,224130004.578239,
239.95,188473371.72194,
240,158489319.246107,
240.05,133275401.642182,
240.1,112072742.613671,
240.15,94243194.7845138,
240.2,79250133.0480473,
240.25,66642303.4840203,
240.3,56040241.7364157,
240.35,47124852.0788205,
240.4,39627803.4255451,
240.45,33323453.2324277,
240.5,28022056.2166669,
240.55,23564053.4950926,
240.6,19815270.2580521,
240.65,16662877.4409024,
240.7,14011995.8494002,
240.75,11782840.5315916,
240.8,9908319.44892724,
240.85,8332014.17254023,
240.9,7006481.82865436,
240.95,5891827.18592246,
241,4954501.90804782,
241.05,4166294.83218787,
241.1,3503482.88301593,
241.15,2946117.06707716,
241.2,2477422.05763332,
241.25,2083291.29899011,
241.3,1751862.4342085,
241.35,1473160.27762371,
241.4,1238796.58653042,
241.45,1041717.59591213,
241.5,875991.717633108,
241.55,736631.014368148,
241.6,619441.075076824,
241.65,520894.773649206,
241.7,438026.111170368,
241.75,368340.946719207,
241.8,309741.929921648,
241.85,260465.375913627,
241.9,219028.182806856,
241.95,184183.194005724,
242,154881.661891247,
242.05,130241.683122561,
242.1,109521.655536682,
242.15,92097.9577652173,
242.2,77446.1797802537,
242.25,65125.3394548191,
242.3,54764.6100961879,
242.35,46052.1594834612,
242.4,38725.7644921637,
242.45,32564.9188295093,
242.5,27384.1963426436,
242.55,23027.6701519958,
242.6,19364.2196394676,
242.65,16283.584043475,
242.7,13693.0438839125,
242.75,11514.6303360583,
242.8,9682.77856261227,
242.85,8142.35437493782,
242.9,6846.99483091082,
242.95,5757.71282552288,
243,4841.72367584102,
243.05,4071.45838348938,
243.1,3423.73387626481,
243.15,2879.05525524102,
243.2,2421.02904673626,
243.25,2035.86979946629,
243.3,1711.98517670283,
243.35,1439.62705572751,
243.4,1210.5981335504,
243.45,1018.00520844996,
243.5,856.051711720104,
243.55,719.863245350909,
243.6,605.340874753968,
243.65,509.037761011367,
243.7,428.055419586221,
243.75,359.956483136071,
243.8,302.691342810127,
243.85,254.536460113048,
243.9,214.042492677149,
243.95,179.990672656922,
244,151.356124843623,
244.05,127.277020467301,
244.1,107.028638291135,
244.15,90.0015523021885,
244.2,75.6832895021008,
244.25,63.6429057426242,
244.3,53.5180153771283,
244.35,45.0038843526323,
244.4,37.8442584717071,
244.45,31.8236507776018,
244.5,26.7608559319939,
244.55,22.5034963844239,
244.6,18.9234361864492,
244.65,15.9129244178463,
244.7,13.3813521515409,
244.75,11.2525253499418,
244.8,9.46237161365791,
244.85,7.95701176140179,
244.9,6.69113820045824,
244.95,5.62665128067499,
245,4.73151258961493,
245.05,3.97878067591848,
245.1,3.34580017853293,
245.15,2.81351995661002,
245.2,2.36591969748589,
245.25,1.98952774505834,
245.3,1.67301563639865,
245.35,1.40685714315198,
245.4,1.18304155572511,
245.45,0.994832580824073,
245.5,0.836565595755836,
245.55,0.703477157354968,
245.6,0.591561634175462,
245.65,0.497450646932327,
245.7,0.41831168865152,
245.75,0.351762873244928,
245.8,0.295801246655157,
245.85,0.24874250291281,
245.9,0.209170290710276,
245.95,0.175893584745199,
246,0.147910838816826,
