T,J,T1,STS300,T2,STS6,T3,STO3,T4,STO65
234.05,593950154.995253,238.9988,20.8052050294427,,,,,,
234.1,498310455.970519,239.4889,2.21970162510258,,,,,,
234.15,418070958.381232,239.9964,0.318206392492147,,,,,,
234.2,350751873.952581,--,--,,,,,,
234.25,294272717.620928,--,--,,,,,,
234.3,246888010.490612,--,--,,,,,,
234.35,207133336.099947,--,--,,,,,,
234.4,173780082.874941,--,--,,,,,,
234.45,145797474.09395,--,--,,,,,,
234.5,122320711.905003,--,--,,,,,,
234.55,102624250.89275,--,--,,,,,,
234.6,86099375.2184605,--,--,,,,,,
234.65,72235386.3586933,--,--,,,,,,
234.7,60603820.0527104,--,--,,,,,,
234.75,50845204.6860107,--,--,,,,,,
234.8,42657951.8801588,--,--,,,,,,
234.85,35789035.9542765,--,--,,,,,,
234.9,30026174.2086141,--,--,,,,,,
234.95,25191266.3631922,--,--,,,,,,
235,21134890.3983659,--,--,,,,,,
235.05,17731684.6922632,--,--,,,,,,
235.1,14876473.7407955,--,--,,,,,,
235.15,12481017.7262577,--,--,,,,,,
235.2,10471285.4805099,--,--,,,,,,
235.25,8785166.56407318,--,--,,,,,,
235.3,7370551.75337946,--,--,,,,,,
235.35,6183722.61391224,--,--,,,,,,
235.4,5188000.38928931,--,--,,,,,,
235.45,4352612.45042185,--,--,,,,,,
235.5,3651741.27254838,--,--,,,,,,
235.55,3063726.54894667,--,--,,,,,,
235.6,2570395.78276901,--,--,,,,,,
235.65,2156502.66906078,--,--,,,,,,
235.7,1809255.91025403,--,--,,,,,,
235.75,1517923.9032495,--,--,,,,,,
235.8,1273503.08101671,--,--,,,,,,
235.85,1068439.65885718,--,--,,,,,,
235.9,896396.185949922,--,--,,,,,,
235.95,752055.687492107,--,--,,,,,,
236,630957.34448021,--,--,,,,,,
236.05,529358.632844189,--,--,,,,,,
236.1,444119.661365626,--,--,,,,,,
236.15,372606.133863786,--,--,,,,,,
236.2,312607.936712399,--,--,,,,,,
236.25,262270.835646812,--,--,,,,,,
236.3,220039.170963726,--,--,,,,,,
236.35,184607.780117845,--,--,,,,,,
236.4,154881.661891247,--,--,,,,,,
236.45,129942.13556376,--,--,,,,,,
236.5,109018.449238518,--,--,,,,,,
236.55,91463.9598834337,--,--,,,,,,
236.6,76736.1489361803,--,--,,,,,,
236.65,64379.8558586373,--,--,,,,,,
236.7,54013.2114764655,--,--,,,,,,
236.75,45315.8363760082,--,--,,,,,,
236.8,38018.9396320547,--,--,,,,,,
236.85,31897.0118691504,--,--,,,,,,
236.9,26760.8559319939,--,--,,,,,,
236.95,22451.7397789745,--,--,,,,,,
237,18836.4908948995,--,--,,,,,,
237.05,15803.380616673,--,--,,,,,,
237.1,13258.6711776057,--,--,,,,,,
237.15,11123.7187573908,--,--,,,,,,
237.2,9332.5430079705,--,--,,,,,,
237.25,7829.78794189123,--,--,,,,,,
237.3,6569.01116476259,--,--,,,,,,
237.35,5511.24858080872,--,--,,,,,,
237.4,4623.81021399282,--,--,,,,,,
237.45,3879.26992977099,--,--,,,,,,
237.5,3254.61783498037,--,--,,,,,,
237.55,2730.54916093391,--,--,,,,,,
